committee,name,firstname,lastname,fullname,official_name,user_id,period,begin,end,policy_field
"Bau, Wohnen, Stadtentwicklung und Kommunen","Kaiser, Elisabeth",Elisabeth,Kaiser,Elisabeth Kaiser,Elisabeth Kaiser,1425035358,WP_19,2017-10-24,2021-10-26,soziales
"Bau, Wohnen, Stadtentwicklung und Kommunen","Mindrup, Klaus",Klaus,Mindrup,Klaus Mindrup,Klaus Mindrup,845282647261761536,WP_19,2017-10-24,2021-10-26,soziales
"Bau, Wohnen, Stadtentwicklung und Kommunen","Nissen, Ulli",Ulli,Nissen,Ulli Nissen,Ulli Nissen,382044198,WP_19,2017-10-24,2021-10-26,soziales
"Bau, Wohnen, Stadtentwicklung und Kommunen","Tausend, Claudia",Claudia,Tausend,Claudia Tausend,Claudia Tausend,NA,WP_19,2017-10-24,2021-10-26,soziales
"Bau, Wohnen, Stadtentwicklung und Kommunen","Bernhard, Marc",Marc,Bernhard,Marc Bernhard,Marc Bernhard,805823950253150208,WP_19,2017-10-24,2021-10-26,soziales
"Bau, Wohnen, Stadtentwicklung und Kommunen","Hemmelgarn, Udo Theodor",Udo Theodor,Hemmelgarn,Udo Theodor Hemmelgarn,Udo Theodor Hemmelgarn,NA,WP_19,2017-10-24,2021-10-26,soziales
"Bau, Wohnen, Stadtentwicklung und Kommunen","Magnitz, Frank",Frank,Magnitz,Frank Magnitz,Frank Magnitz,940532615177752576,WP_19,2017-10-24,2021-10-26,soziales
"Bau, Wohnen, Stadtentwicklung und Kommunen","Föst, Daniel",Daniel,Föst,Daniel Föst,Daniel Föst,422569574,WP_19,2017-10-24,2021-10-26,soziales
"Bau, Wohnen, Stadtentwicklung und Kommunen","Reinhold, Hagen",Hagen,Reinhold,Hagen Reinhold,Hagen Reinhold,925657781759332353,WP_19,2017-10-24,2021-10-26,soziales
"Bau, Wohnen, Stadtentwicklung und Kommunen","Strack-Zimmermann, Dr. Marie-Agnes",Dr. Marie-Agnes,Strack-Zimmermann,Dr. Marie-Agnes Strack-Zimmermann,Marie-Agnes Strack-Zimmermann,3047392319,WP_19,2017-10-24,2021-10-26,soziales
"Bau, Wohnen, Stadtentwicklung und Kommunen","Kassner, Kerstin",Kerstin,Kassner,Kerstin Kassner,Kerstin Kassner,NA,WP_19,2017-10-24,2021-10-26,soziales
"Bau, Wohnen, Stadtentwicklung und Kommunen","Lay, Caren",Caren,Lay,Caren Lay,Caren Lay,21404382,WP_19,2017-10-24,2021-10-26,soziales
"Bau, Wohnen, Stadtentwicklung und Kommunen","Kühn, Christian",Christian,Kühn,Christian Kühn,Christian Kühn,1143130812,WP_19,2017-10-24,2021-10-26,soziales
"Bau, Wohnen, Stadtentwicklung und Kommunen","Wagner, Daniela",Daniela,Wagner,Daniela Wagner,Daniela Wagner,874917828436078592,WP_19,2017-10-24,2021-10-26,soziales
"Bildung, Forschung und Technikfolgenabschätzung","Rossmann, Dr. Ernst Dieter",Dr. Ernst Dieter,Rossmann,Dr. Ernst Dieter Rossmann,Ernst Dieter Rossmann,38645930,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Benning, Sybille",Sybille,Benning,Sybille Benning,Sybille Benning,869205749632831488,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Abercron, Dr. Michael von",Dr. Michael von,Abercron,Dr. Michael von Abercron,Michael von Abercron,862747349277450240,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Albani, Stephan",Stephan,Albani,Stephan Albani,Stephan Albani,NA,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Altenkamp, Norbert",Norbert,Altenkamp,Norbert Altenkamp,Norbert Altenkamp,1319570576957149184,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Gienger, Eberhard",Eberhard,Gienger,Eberhard Gienger,Eberhard Gienger,NA,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Kaufmann, Dr. Stefan",Dr. Stefan,Kaufmann,Dr. Stefan Kaufmann,Stefan Kaufmann,51752254,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Kemmer, Ronja",Ronja,Kemmer,Ronja Kemmer,Ronja Kemmer,2405039875,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Magwas, Yvonne",Yvonne,Magwas,Yvonne Magwas,Yvonne Magwas,3852561082,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Mannes, Dr. Astrid",Dr. Astrid,Mannes,Dr. Astrid Mannes,Astrid Mannes,NA,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Rupprecht, Albert",Albert,Rupprecht,Albert Rupprecht,Albert Rupprecht,NA,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Staffler, Katrin",Katrin,Staffler,Katrin Staffler,Katrin Staffler,825019912083038208,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Stefinger, Dr. Wolfgang",Dr. Wolfgang,Stefinger,Dr. Wolfgang Stefinger,Wolfgang Stefinger,4866955749,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Steier, Andreas",Andreas,Steier,Andreas Steier,Andreas Steier,3236928208,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Tiemann, Dr. Dietlind",Dr. Dietlind,Tiemann,Dr. Dietlind Tiemann,Dietlind Tiemann,4818645382,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Bahr, Ulrike",Ulrike,Bahr,Ulrike Bahr,Ulrike Bahr,724565991104110592,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Diaby, Dr. Karamba",Dr. Karamba,Diaby,Dr. Karamba Diaby,Karamba Diaby,316355056,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Esdar, Dr. Wiebke",Dr. Wiebke,Esdar,Dr. Wiebke Esdar,Wiebke Esdar,1042109887604563968,WP_19,2017-10-24,2021-10-26,bildung_forschung
